auName,dayVaccinations,popID,DogsVaccinated
Population,0,265,4
Population,0,266,9
Population,0,267,10
Population,0,268,3
Population,0,269,1
Population,0,270,6
Population,0,271,1
Population,0,272,20
Population,0,273,4
Population,0,274,1
Population,0,275,10
Population,0,276,7
Population,0,277,9
Population,0,278,26
Population,0,279,4
Population,0,281,3
Population,0,282,3
Population,0,283,1
Population,0,287,1
Population,0,292,3
Population,0,293,3
Population,0,294,2
Population,0,297,2
Population,0,305,1
Population,0,308,2
Population,0,309,1
Population,0,310,1
Population,0,312,8
Population,0,315,1
Population,0,316,5
Population,0,317,4
Population,0,318,5
Population,0,319,10
Population,0,320,1
Population,0,322,4
Population,0,323,1
Population,0,324,6
Population,0,325,4
Population,0,326,3
Population,0,338,5
Population,0,339,3
Population,0,340,8
Population,0,341,7
Population,0,342,2
Population,0,345,1
Population,0,350,4
Population,0,352,5
Population,0,353,2
Population,0,356,3
Population,0,358,2
Population,0,359,1
Population,0,360,1
Population,0,362,3
Population,0,363,4
Population,0,364,1
Population,0,365,4
Population,0,366,7
Population,0,367,6
Population,0,368,6
Population,0,369,1
Population,0,370,7
Population,0,371,24
Population,0,372,5
Population,0,373,5
Population,0,374,3
Population,0,382,2
Population,0,386,7
Population,0,387,2
Population,0,388,1
Population,0,396,2
Population,0,405,2
Population,0,410,2
Population,0,411,2
Population,0,412,4
Population,0,413,3
Population,0,414,1
Population,0,417,5
Population,0,418,2
Population,0,419,2
Population,0,420,1
Population,0,421,10
Population,0,422,4
Population,0,430,2
Population,0,431,2
Population,0,432,8
Population,0,433,2
Population,0,434,3
Population,0,442,3
Population,0,446,1
Population,0,447,4
Population,0,455,2
Population,0,456,10
Population,0,457,1
Population,0,458,2
Population,0,459,5
Population,0,460,1
Population,0,461,4
Population,0,462,16
Population,0,463,6
Population,0,464,6
Population,0,465,5
Population,0,474,2
Population,0,476,3
Population,0,477,1
Population,0,483,1
Population,0,484,1
Population,0,485,2
Population,0,487,2
Population,0,490,2
Population,0,491,4
Population,0,492,4
Population,0,499,2
Population,0,500,4
Population,0,503,2
Population,0,506,1
Population,0,507,8
Population,0,508,8
Population,0,509,7
Population,0,510,5
Population,0,511,4
Population,0,513,2
Population,0,514,1
Population,0,518,3
Population,0,519,3
Population,0,520,1
Population,0,521,3
Population,0,522,3
Population,0,529,1
Population,0,530,4
Population,0,531,1
Population,0,536,2
Population,0,537,1
Population,0,542,1
Population,0,546,2
Population,0,547,1
Population,0,548,8
Population,0,551,7
Population,0,552,3
Population,0,553,13
Population,0,554,24
Population,0,555,11
Population,0,556,6
Population,0,557,2
Population,0,558,1
Population,0,560,2
Population,0,561,1
Population,0,562,4
Population,0,563,4
Population,0,564,3
Population,0,566,2
Population,0,568,1
Population,0,577,3
Population,0,584,4
Population,0,587,1
Population,0,590,1
Population,0,591,2
Population,0,592,1
Population,0,595,3
Population,0,596,3
Population,0,598,3
Population,0,599,3
Population,0,600,5
Population,0,601,8
Population,0,602,5
Population,0,603,4
Population,0,604,7
Population,0,605,10
Population,0,606,10
Population,0,609,6
Population,0,612,3
Population,0,613,2
Population,0,614,4
Population,0,615,4
Population,0,616,1
Population,0,617,1
Population,0,619,1
Population,0,624,3
Population,0,627,1
Population,0,628,1
Population,0,629,1
Population,0,632,1
Population,0,635,1
Population,0,636,1
Population,0,639,4
Population,0,640,7
Population,0,641,11
Population,0,643,1
Population,0,644,3
Population,0,646,4
Population,0,647,6
Population,0,648,2
Population,0,649,3
Population,0,651,2
Population,0,652,8
Population,0,653,3
Population,0,654,4
Population,0,655,2
Population,0,656,10
Population,0,657,9
Population,0,658,15
Population,0,661,1
Population,0,662,1
Population,0,664,4
Population,0,665,6
Population,0,666,1
Population,0,668,2
Population,0,669,2
Population,0,671,2
Population,0,672,2
Population,0,682,3
Population,0,688,8
Population,0,689,2
Population,0,695,1
Population,0,697,1
Population,0,700,4
Population,0,701,4
Population,0,702,1
Population,0,703,10
Population,0,704,2
Population,0,706,2
Population,0,707,5
Population,0,708,5
Population,0,710,9
Population,0,711,12
Population,0,712,8
Population,0,713,3
Population,0,716,2
Population,0,718,4
Population,0,721,1
Population,0,722,1
Population,0,723,2
Population,0,725,5
Population,0,726,2
Population,0,728,1
Population,0,732,1
Population,0,744,2
Population,0,745,6
Population,0,746,6
Population,0,749,1
Population,0,755,3
Population,0,756,2
Population,0,757,5
Population,0,758,4
Population,0,759,2
Population,0,762,5
Population,0,763,7
Population,0,764,1
Population,0,765,9
Population,0,766,3
Population,0,767,1
Population,0,768,1
Population,0,772,6
Population,0,773,8
Population,0,774,2
Population,0,775,2
Population,0,780,1
Population,0,781,1
Population,0,785,1
Population,0,787,1
Population,0,788,2
Population,0,790,5
Population,0,791,1
Population,0,792,2
Population,0,794,1
Population,0,802,2
Population,0,803,1
Population,0,804,1
Population,0,808,1
Population,0,809,1
Population,0,811,2
Population,0,812,7
Population,0,813,6
Population,0,815,5
Population,0,818,2
Population,0,819,4
Population,0,820,3
Population,0,822,4
Population,0,825,2
Population,0,826,1
Population,0,828,1
Population,0,830,2
Population,0,831,5
Population,0,832,4
Population,0,833,5
Population,0,834,1
Population,0,840,2
Population,0,841,1
Population,0,842,1
Population,0,843,5
Population,0,844,1
Population,0,847,5
Population,0,848,1
Population,0,849,3
Population,0,850,2
Population,0,851,1
Population,0,852,1
Population,0,853,11
Population,0,854,8
Population,0,857,4
Population,0,858,1
Population,0,859,8
Population,0,860,6
Population,0,866,1
Population,0,868,1
Population,0,870,13
Population,0,871,2
Population,0,872,5
Population,0,873,2
Population,0,874,1
Population,0,875,2
Population,0,876,2
Population,0,877,3
Population,0,879,3
Population,0,880,2
Population,0,881,1
Population,0,884,3
Population,0,885,4
Population,0,886,1
Population,0,892,1
Population,0,893,3
Population,0,895,1
Population,0,898,4
Population,0,900,1
Population,0,901,7
Population,0,902,5
Population,0,903,8
Population,0,904,2
Population,0,905,2
Population,0,906,1
Population,0,907,1
Population,0,908,3
Population,0,914,1
Population,0,915,1
Population,0,917,1
Population,0,918,1
Population,0,919,3
Population,0,920,2
Population,0,922,2
Population,0,924,1
Population,0,926,1
Population,0,927,1
Population,0,928,1
Population,0,929,5
Population,0,930,41
Population,0,931,6
Population,0,933,2
Population,0,934,3
Population,0,935,2
Population,0,936,5
Population,0,937,5
Population,0,939,1
Population,0,940,3
Population,0,941,7
Population,0,942,7
Population,0,943,1
Population,0,944,2
Population,0,946,2
Population,0,952,3
Population,0,954,2
Population,0,955,1
Population,0,957,4
Population,0,958,4
Population,0,959,10
Population,0,960,4
Population,0,961,1
Population,0,962,8
Population,0,963,11
Population,0,964,7
Population,0,965,4
Population,0,969,1
Population,0,970,1
Population,0,973,3
Population,0,977,1
Population,0,978,13
Population,0,983,2
Population,0,985,4
Population,0,986,12
Population,0,987,6
Population,0,988,17
Population,0,989,3
Population,0,990,3
Population,0,991,1
Population,0,994,1
Population,0,995,3
Population,0,996,5
Population,0,997,7
Population,0,998,6
Population,0,999,10
Population,0,1000,14
Population,0,1001,3
Population,0,1002,3
Population,0,1004,2
Population,0,1005,2
Population,0,1006,4
Population,0,1011,6
Population,0,1012,4
Population,0,1013,5
Population,0,1014,1
Population,0,1016,2
Population,0,1017,2
Population,0,1018,22
Population,0,1019,27
Population,0,1020,15
Population,0,1021,3
Population,0,1022,7
Population,0,1030,1
Population,0,1038,4
Population,0,1041,2
Population,0,1043,3
Population,0,1044,1
Population,0,1045,6
Population,0,1046,3
Population,0,1047,7
Population,0,1048,5
Population,0,1049,2
Population,0,1050,4
Population,0,1052,4
Population,0,1053,1
Population,0,1054,2
Population,0,1055,3
Population,0,1056,7
Population,0,1057,6
Population,0,1058,3
Population,0,1059,5
Population,0,1060,1
Population,0,1061,3
Population,0,1062,2
Population,0,1068,1
Population,0,1069,3
Population,0,1070,1
Population,0,1071,1
Population,0,1072,1
Population,0,1073,2
Population,0,1075,2
Population,0,1076,5
Population,0,1077,26
Population,0,1087,1
Population,0,1094,3
Population,0,1095,1
Population,0,1096,1
Population,0,1097,4
Population,0,1098,4
Population,0,1099,7
Population,0,1105,1
Population,0,1106,2
Population,0,1109,2
Population,0,1110,4
Population,0,1111,2
Population,0,1112,8
Population,0,1113,6
Population,0,1114,2
Population,0,1115,2
Population,0,1116,3
Population,0,1117,5
Population,0,1118,2
Population,0,1119,1
Population,0,1121,2
Population,0,1124,1
Population,0,1130,1
Population,0,1143,4
Population,0,1144,8
Population,0,1145,2
Population,0,1146,8
Population,0,1156,1
Population,0,1157,5
Population,0,1158,2
Population,0,1159,1
Population,0,1160,1
Population,0,1161,4
Population,0,1163,2
Population,0,1165,2
Population,0,1166,1
Population,0,1167,1
Population,0,1169,2
Population,0,1171,5
Population,0,1172,2
Population,0,1173,1
Population,0,1174,1
Population,0,1175,5
Population,0,1176,2
Population,0,1177,2
Population,0,1178,4
Population,0,1179,1
Population,0,1180,2
Population,0,1181,3
Population,0,1182,1
Population,0,1186,1
Population,0,1187,2
Population,0,1191,1
Population,0,1200,2
Population,0,1202,1
Population,0,1203,3
Population,0,1204,1
Population,0,1206,10
Population,0,1207,3
Population,0,1208,2
Population,0,1209,2
Population,0,1210,10
Population,0,1213,2
Population,0,1216,1
Population,0,1217,2
Population,0,1219,2
Population,0,1220,2
Population,0,1221,1
Population,0,1222,5
Population,0,1223,3
Population,0,1224,3
Population,0,1226,1
Population,0,1227,2
Population,0,1228,14
Population,0,1229,10
Population,0,1230,16
Population,0,1231,1
Population,0,1232,3
Population,0,1233,2
Population,0,1234,2
Population,0,1235,6
Population,0,1237,6
Population,0,1238,8
Population,0,1239,4
Population,0,1240,4
Population,0,1241,2
Population,0,1242,4
Population,0,1243,3
Population,0,1244,4
Population,0,1245,5
Population,0,1246,5
Population,0,1248,1
Population,0,1249,1
Population,0,1250,6
Population,0,1253,3
Population,0,1254,1
Population,0,1255,2
Population,0,1259,2
Population,0,1262,4
Population,0,1263,5
Population,0,1264,2
Population,0,1265,1
Population,0,1266,2
Population,0,1268,10
Population,0,1269,7
Population,0,1271,1
Population,0,1272,6
Population,0,1273,1
Population,0,1279,1
Population,0,1283,1
Population,0,1284,6
Population,0,1285,5
Population,0,1291,1
Population,0,1292,2
Population,0,1293,1
Population,0,1294,7
Population,0,1295,4
Population,0,1296,6
Population,0,1297,1
Population,0,1298,5
Population,0,1300,2
Population,0,1301,5
Population,0,1302,5
Population,0,1303,3
Population,0,1304,7
Population,0,1305,1
Population,0,1306,4
Population,0,1307,11
Population,0,1308,8
Population,0,1309,4
Population,0,1310,2
Population,0,1311,3
Population,0,1312,3
Population,0,1313,4
Population,0,1314,2
Population,0,1317,1
Population,0,1323,1
Population,0,1324,3
Population,0,1327,3
Population,0,1329,2
Population,0,1335,2
Population,0,1336,1
Population,0,1342,4
Population,0,1347,4
Population,0,1349,6
Population,0,1350,2
Population,0,1351,7
Population,0,1354,9
Population,0,1355,2
Population,0,1356,3
Population,0,1357,6
Population,0,1358,2
Population,0,1359,17
Population,0,1362,7
Population,0,1363,2
Population,0,1365,4
Population,0,1366,1
Population,0,1367,1
Population,0,1368,3
Population,0,1369,1
Population,0,1371,5
Population,0,1372,2
Population,0,1373,6
Population,0,1374,7
Population,0,1375,4
Population,0,1376,2
Population,0,1377,1
Population,0,1378,5
Population,0,1388,2
Population,0,1390,1
Population,0,1391,2
Population,0,1393,1
Population,0,1394,14
Population,0,1397,1
Population,0,1399,1
Population,0,1400,1
Population,0,1401,1
Population,0,1405,1
Population,0,1407,2
Population,0,1412,3
Population,0,1413,2
Population,0,1414,1
Population,0,1415,1
Population,0,1416,4
Population,0,1419,2
Population,0,1420,1
Population,0,1422,2
Population,0,1424,7
Population,0,1425,3
Population,0,1426,13
Population,0,1427,5
Population,0,1428,2
Population,0,1429,3
Population,0,1430,2
Population,0,1432,1
Population,0,1433,3
Population,0,1434,6
Population,0,1435,4
Population,0,1436,1
Population,0,1437,1
Population,0,1438,5
Population,0,1439,1
Population,0,1440,3
Population,0,1441,5
Population,0,1442,5
Population,0,1443,3
Population,0,1444,8
Population,0,1448,1
Population,0,1449,1
Population,0,1450,1
Population,0,1451,2
Population,0,1452,2
Population,0,1453,1
Population,0,1456,1
Population,0,1457,3
Population,0,1458,3
Population,0,1459,1
Population,0,1460,1
Population,0,1463,1
Population,0,1469,3
Population,0,1470,2
Population,0,1475,1
Population,0,1477,5
Population,0,1480,2
Population,0,1482,1
Population,0,1483,2
Population,0,1484,3
Population,0,1485,4
Population,0,1486,1
Population,0,1489,1
Population,0,1490,6
Population,0,1491,12
Population,0,1492,9
Population,0,1493,4
Population,0,1494,3
Population,0,1495,10
Population,0,1496,14
Population,0,1497,3
Population,0,1498,1
Population,0,1500,3
Population,0,1502,1
Population,0,1504,1
Population,0,1506,2
Population,0,1507,1
Population,0,1511,2
Population,0,1512,2
Population,0,1513,4
Population,0,1515,3
Population,0,1519,1
Population,0,1520,1
Population,0,1521,1
Population,0,1522,1
Population,0,1523,6
Population,0,1527,1
Population,0,1530,2
Population,0,1534,2
Population,0,1535,6
Population,0,1536,1
Population,0,1539,1
Population,0,1543,2
Population,0,1544,1
Population,0,1547,7
Population,0,1548,4
Population,0,1549,24
Population,0,1550,9
Population,0,1552,1
Population,0,1553,12
Population,0,1554,12
Population,0,1555,51
Population,0,1556,21
Population,0,1557,2
Population,0,1558,10
Population,0,1559,10
Population,0,1560,6
Population,0,1562,4
Population,0,1563,4
Population,0,1565,2
Population,0,1566,3
Population,0,1570,1
Population,0,1574,2
Population,0,1575,1
Population,0,1576,4
Population,0,1577,2
Population,0,1579,4
Population,0,1582,1
Population,0,1583,2
Population,0,1588,1
Population,0,1594,1
Population,0,1599,2
Population,0,1601,4
Population,0,1602,4
Population,0,1607,1
Population,0,1609,3
Population,0,1610,9
Population,0,1611,1
Population,0,1612,5
Population,0,1613,6
Population,0,1614,1
Population,0,1615,8
Population,0,1616,10
Population,0,1617,69
Population,0,1618,61
Population,0,1619,12
Population,0,1620,6
Population,0,1621,3
Population,0,1622,1
Population,0,1623,4
Population,0,1624,5
Population,0,1625,2
Population,0,1626,7
Population,0,1627,5
Population,0,1632,4
Population,0,1633,2
Population,0,1634,2
Population,0,1636,1
Population,0,1638,1
Population,0,1640,2
Population,0,1641,1
Population,0,1646,1
Population,0,1649,1
Population,0,1651,3
Population,0,1652,1
Population,0,1655,1
Population,0,1663,1
Population,0,1665,1
Population,0,1671,1
Population,0,1673,5
Population,0,1674,1
Population,0,1675,2
Population,0,1676,2
Population,0,1677,1
Population,0,1678,5
Population,0,1679,56
Population,0,1680,68
Population,0,1681,27
Population,0,1683,6
Population,0,1684,7
Population,0,1685,3
Population,0,1687,2
Population,0,1693,2
Population,0,1694,6
Population,0,1698,1
Population,0,1704,9
Population,0,1705,1
Population,0,1706,2
Population,0,1707,1
Population,0,1708,1
Population,0,1709,3
Population,0,1710,2
Population,0,1712,1
Population,0,1715,1
Population,0,1717,2
Population,0,1720,4
Population,0,1722,5
Population,0,1724,2
Population,0,1725,2
Population,0,1734,2
Population,0,1735,2
Population,0,1736,3
Population,0,1737,1
Population,0,1738,22
Population,0,1739,45
Population,0,1740,13
Population,0,1741,6
Population,0,1744,4
Population,0,1745,7
Population,0,1746,1
Population,0,1748,1
Population,0,1749,1
Population,0,1754,4
Population,0,1758,2
Population,0,1759,2
Population,0,1760,1
Population,0,1761,1
Population,0,1763,2
Population,0,1764,2
Population,0,1765,1
Population,0,1766,4
Population,0,1767,1
Population,0,1769,1
Population,0,1771,3
Population,0,1774,3
Population,0,1776,2
Population,0,1777,6
Population,0,1778,1
Population,0,1780,1
Population,0,1781,1
Population,0,1782,3
Population,0,1784,3
Population,0,1788,2
Population,0,1791,4
Population,0,1792,2
Population,0,1794,2
Population,0,1795,2
Population,0,1797,6
Population,0,1798,7
Population,0,1799,16
Population,0,1800,27
Population,0,1802,1
Population,0,1803,7
Population,0,1804,7
Population,0,1805,4
Population,0,1806,5
Population,0,1807,7
Population,0,1808,3
Population,0,1810,7
Population,0,1812,10
Population,0,1813,3
Population,0,1814,2
Population,0,1819,1
Population,0,1824,2
Population,0,1827,2
Population,0,1828,3
Population,0,1832,1
Population,0,1833,2
Population,0,1839,3
Population,0,1841,1
Population,0,1842,2
Population,0,1851,2
Population,0,1852,3
Population,0,1853,6
Population,0,1854,5
Population,0,1858,25
Population,0,1859,8
Population,0,1862,1
Population,0,1863,1
Population,0,1864,4
Population,0,1866,2
Population,0,1867,7
Population,0,1868,3
Population,0,1870,3
Population,0,1871,8
Population,0,1872,3
Population,0,1876,1
Population,0,1882,2
Population,0,1883,1
Population,0,1887,3
Population,0,1890,2
Population,0,1894,2
Population,0,1896,2
Population,0,1898,3
Population,0,1900,1
Population,0,1903,1
Population,0,1905,3
Population,0,1907,3
Population,0,1908,5
Population,0,1909,1
Population,0,1910,2
Population,0,1911,24
Population,0,1912,4
Population,0,1915,11
Population,0,1916,4
Population,0,1923,6
Population,0,1925,7
Population,0,1926,3
Population,0,1927,12
Population,0,1928,6
Population,0,1929,5
Population,0,1933,7
Population,0,1934,14
Population,0,1935,1
Population,0,1940,2
Population,0,1944,1
Population,0,1945,3
Population,0,1947,5
Population,0,1948,1
Population,0,1950,1
Population,0,1951,1
Population,0,1954,3
Population,0,1955,2
Population,0,1957,6
Population,0,1958,1
Population,0,1961,1
Population,0,1965,1
Population,0,1966,7
Population,0,1967,3
Population,0,1969,55
Population,0,1970,2
Population,0,1971,3
Population,0,1972,4
Population,0,1973,1
Population,0,1977,3
Population,0,1978,2
Population,0,1979,10
Population,0,1980,5
Population,0,1981,17
Population,0,1982,2
Population,0,1983,2
Population,0,1984,6
Population,0,1985,6
Population,0,1986,5
Population,0,1990,7
Population,0,1991,28
Population,0,1993,1
Population,0,1994,2
Population,0,1995,1
Population,0,1996,3
Population,0,1997,1
Population,0,2000,1
Population,0,2001,2
Population,0,2002,9
Population,0,2006,3
Population,0,2007,4
Population,0,2008,1
Population,0,2010,1
Population,0,2011,1
Population,0,2012,1
Population,0,2014,2
Population,0,2017,1
Population,0,2018,1
Population,0,2019,1
Population,0,2020,1
Population,0,2023,2
Population,0,2024,1
Population,0,2025,1
Population,0,2026,13
Population,0,2027,2
Population,0,2029,25
Population,0,2030,16
Population,0,2031,2
Population,0,2032,3
Population,0,2033,11
Population,0,2034,5
Population,0,2035,3
Population,0,2036,7
Population,0,2037,9
Population,0,2038,2
Population,0,2039,1
Population,0,2041,4
Population,0,2042,4
Population,0,2046,1
Population,0,2047,3
Population,0,2049,6
Population,0,2050,3
Population,0,2051,7
Population,0,2052,3
Population,0,2055,3
Population,0,2056,1
Population,0,2058,3
Population,0,2060,1
Population,0,2061,1
Population,0,2062,1
Population,0,2063,3
Population,0,2065,1
Population,0,2066,1
Population,0,2070,1
Population,0,2071,1
Population,0,2072,1
Population,0,2074,1
Population,0,2075,1
Population,0,2077,4
Population,0,2078,2
Population,0,2080,2
Population,0,2083,6
Population,0,2085,4
Population,0,2086,2
Population,0,2087,1
Population,0,2088,7
Population,0,2089,16
Population,0,2096,1
Population,0,2097,2
Population,0,2102,1
Population,0,2103,2
Population,0,2104,1
Population,0,2105,1
Population,0,2109,3
Population,0,2110,2
Population,0,2111,1
Population,0,2113,3
Population,0,2116,1
Population,0,2117,2
Population,0,2118,3
Population,0,2119,2
Population,0,2120,1
Population,0,2121,1
Population,0,2125,2
Population,0,2129,1
Population,0,2130,1
Population,0,2132,15
Population,0,2134,1
Population,0,2135,1
Population,0,2136,1
Population,0,2138,1
Population,0,2139,2
Population,0,2140,7
Population,0,2142,1
Population,0,2143,1
Population,0,2144,1
Population,0,2146,2
Population,0,2150,1
Population,0,2151,1
Population,0,2156,2
Population,0,2157,1
Population,0,2158,5
Population,0,2159,2
Population,0,2160,4
Population,0,2161,1
Population,0,2164,2
Population,0,2165,1
Population,0,2166,2
Population,0,2168,2
Population,0,2170,1
Population,0,2171,1
Population,0,2173,1
Population,0,2174,1
Population,0,2176,2
Population,0,2177,1
Population,0,2179,2
Population,0,2180,1
Population,0,2181,2
Population,0,2184,4
Population,0,2185,1
Population,0,2187,3
Population,0,2189,3
Population,0,2190,4
Population,0,2192,1
Population,0,2196,1
Population,0,2197,2
Population,0,2199,2
Population,0,2204,1
Population,0,2209,1
Population,0,2210,11
Population,0,2211,2
Population,0,2216,2
Population,0,2217,2
Population,0,2218,1
Population,0,2220,1
Population,0,2221,4
Population,0,2222,3
Population,0,2224,2
Population,0,2226,2
Population,0,2227,1
Population,0,2228,5
Population,0,2229,2
Population,0,2230,2
Population,0,2232,1
Population,0,2233,1
Population,0,2237,4
Population,0,2238,1
Population,0,2243,7
Population,0,2244,3
Population,0,2245,4
Population,0,2249,2
Population,0,2250,1
Population,0,2261,1
Population,0,2263,3
Population,0,2266,6
Population,0,2267,2
Population,0,2269,1
Population,0,2274,2
Population,0,2277,1
Population,0,2278,1
Population,0,2279,1
Population,0,2281,4
Population,0,2286,2
Population,0,2287,3
Population,0,2289,2
Population,0,2293,1
Population,0,2294,3
Population,0,2295,5
Population,0,2298,1
Population,0,2299,1
Population,0,2305,2
Population,0,2306,4
Population,0,2308,5
Population,0,2310,1
Population,0,2311,1
Population,0,2312,1
Population,0,2313,8
Population,0,2314,2
Population,0,2316,2
Population,0,2319,2
Population,0,2320,2
Population,0,2322,1
Population,0,2324,1
Population,0,2325,2
Population,0,2326,1
Population,0,2328,3
Population,0,2330,1
Population,0,2333,2
Population,0,2334,1
Population,0,2335,1
Population,0,2345,4
Population,0,2349,5
Population,0,2352,1
Population,0,2353,1
Population,0,2354,1
Population,0,2355,12
Population,0,2356,24
Population,0,2357,1
Population,0,2358,3
Population,0,2359,1
Population,0,2360,1
Population,0,2361,5
Population,0,2362,1
Population,0,2366,1
Population,0,2368,1
Population,0,2369,1
Population,0,2370,1
Population,0,2371,8
Population,0,2372,1
Population,0,2375,2
Population,0,2376,3
Population,0,2379,1
Population,0,2382,1
Population,0,2383,1
Population,0,2387,4
Population,0,2391,5
Population,0,2392,7
Population,0,2393,8
Population,0,2395,4
Population,0,2396,7
Population,0,2397,12
Population,0,2399,3
Population,0,2400,1
Population,0,2401,1
Population,0,2402,2
Population,0,2408,1
Population,0,2409,3
Population,0,2411,2
Population,0,2412,6
Population,0,2413,5
Population,0,2414,1
Population,0,2416,3
Population,0,2417,4
Population,0,2418,2
Population,0,2424,1
Population,0,2432,1
Population,0,2433,2
Population,0,2434,9
Population,0,2435,7
Population,0,2436,14
Population,0,2437,8
Population,0,2438,3
Population,0,2441,1
Population,0,2442,1
Population,0,2443,1
Population,0,2449,1
Population,0,2450,2
Population,0,2469,1
Population,0,2470,5
Population,0,2473,2
Population,0,2474,13
Population,0,2475,9
Population,0,2476,1
Population,0,2477,1
Population,0,2478,1
Population,0,2480,5
Population,0,2481,1
Population,0,2483,7
Population,0,2486,2
Population,0,2487,2
Population,0,2489,1
Population,0,2492,4
Population,0,2493,1
Population,0,2494,2
Population,0,2495,1
Population,0,2499,2
Population,0,2501,1
Population,0,2503,1
Population,0,2506,6
Population,0,2507,48
Population,0,2508,22
Population,0,2509,15
Population,0,2510,9
Population,0,2513,1
Population,0,2514,3
Population,0,2516,2
Population,0,2517,12
Population,0,2519,1
Population,0,2520,2
Population,0,2521,1
Population,0,2522,6
Population,0,2523,1
Population,0,2526,1
Population,0,2531,1
Population,0,2537,1
Population,0,2538,1
Population,0,2541,6
Population,0,2542,9
Population,0,2543,5
Population,0,2544,16
Population,0,2547,16
Population,0,2548,3
Population,0,2549,2
Population,0,2551,1
Population,0,2552,9
Population,0,2556,2
Population,0,2558,1
Population,0,2560,10
Population,0,2561,4
Population,0,2562,2
Population,0,2575,2
Population,0,2576,3
Population,0,2577,9
Population,0,2578,6
Population,0,2579,1
Population,0,2580,3
Population,0,2582,1
Population,0,2583,10
Population,0,2586,4
Population,0,2587,3
Population,0,2588,7
Population,0,2589,1
Population,0,2591,3
Population,0,2595,1
Population,0,2596,1
Population,0,2604,1
Population,0,2605,2
Population,0,2609,5
Population,0,2611,3
Population,0,2612,4
Population,0,2613,6
Population,0,2614,3
Population,0,2615,3
Population,0,2616,1
Population,0,2618,7
Population,0,2622,3
Population,0,2626,29
Population,0,2627,3
Population,0,2628,2
Population,0,2630,1
Population,0,2631,3
Population,0,2632,1
Population,0,2634,2
Population,0,2637,1
Population,0,2639,1
Population,0,2647,10
Population,0,2648,8
Population,0,2649,6
Population,0,2655,4
Population,0,2656,21
Population,0,2657,10
Population,0,2658,4
Population,0,2665,1
Population,0,2666,4
Population,0,2670,8
Population,0,2671,4
Population,0,2672,1
Population,0,2673,1
Population,0,2675,4
Population,0,2676,3
Population,0,2677,6
Population,0,2681,6
Population,0,2683,1
Population,0,2684,1
Population,0,2685,7
Population,0,2687,2
Population,0,2693,1
Population,0,2695,2
Population,0,2696,6
Population,0,2705,1
Population,0,2715,5
Population,0,2718,1
Population,0,2720,3
Population,0,2723,2
Population,0,2729,3
Population,0,2730,3
Population,0,2745,1
Population,0,2749,1
Population,0,2752,3
Population,0,2756,9
Population,0,2757,20
Population,0,2761,2
Population,0,2762,2
Population,0,2763,2
Population,0,2764,2
Population,537,186,1
Population,537,189,3
Population,537,190,3
Population,537,228,12
Population,537,229,2
Population,537,230,2
Population,537,231,3
Population,537,233,1
Population,537,234,2
Population,537,275,2
Population,537,276,6
Population,537,277,8
Population,537,278,15
Population,537,279,5
Population,537,322,1
Population,537,323,7
Population,537,324,8
Population,537,325,5
Population,537,326,6
Population,537,370,2
